================================================================================
SCHEMA
--------------------------------------------------------------------------------
ENTITY TYPES: 22 types
  Abbreviation
  AlternativeName
  Application_Creation
  Application_Deposition
  Application_Mention
  Application_Usage
  Citation
  Developer
  Extension
  License
  OperatingSystem_Mention
  OperatingSystem_Usage
  PlugIn_Creation
  PlugIn_Deposition
  PlugIn_Mention
  PlugIn_Usage
  ProgrammingEnvironment_Mention
  ProgrammingEnvironment_Usage
  Release
  SoftwareCoreference_Deposition
  URL
  Version
--------------------------------------------------------------------------------
RELATION TYPES: 11 types
  Abbreviation_of(
    Abbreviation|Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  AlternativeName_of(
    AlternativeName|Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Citation_of(
    Citation,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  Developer_of(
    Developer,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Extension_of(
    Extension,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  License_of(
    License,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  PlugIn_of(
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Release_of(
    Release,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  Specification_of(
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage
  )
  URL_of(
    URL,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|Developer|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
  Version_of(
    Version,
    Application_Creation|Application_Deposition|Application_Mention|Application_Usage|License|OperatingSystem_Mention|OperatingSystem_Usage|PlugIn_Creation|PlugIn_Deposition|PlugIn_Mention|PlugIn_Usage|ProgrammingEnvironment_Mention|ProgrammingEnvironment_Usage|SoftwareCoreference_Deposition
  )
================================================================================
train/Creation_sentences: 66 units
  PMC1283974:    862 chars, 14 entities,  5 relations
  PMC1388242:   1308 chars, 20 entities, 11 relations
  PMC2500018:    764 chars, 19 entities,  9 relations
  PMC2518514:    316 chars,  5 entities,  2 relations
  PMC2537576:    951 chars, 18 entities,  7 relations
  PMC2581597:    719 chars,  5 entities,  1 relations
  PMC2704872:   1257 chars, 12 entities,  2 relations
  PMC2811132:    989 chars, 10 entities,  3 relations
  PMC2832824:    311 chars,  5 entities,  1 relations
  PMC2896177:    472 chars,  6 entities,  1 relations
  PMC2930644:    456 chars,  5 entities,  2 relations
  PMC3102222:    490 chars,  7 entities,  2 relations
  PMC3161910:    838 chars, 15 entities,  6 relations
  PMC3280956:    634 chars, 11 entities,  6 relations
  PMC3299741:    985 chars,  8 entities,  2 relations
  PMC3356847:    570 chars,  8 entities,  2 relations
  PMC3436805:   1098 chars,  6 entities,  1 relations
  PMC3463482:    650 chars, 12 entities,  2 relations
  PMC3467035:    748 chars, 13 entities,  8 relations
  PMC3533878:   1161 chars, 18 entities,  3 relations
  PMC3661053:    530 chars,  8 entities,  3 relations
   PMC368431:    463 chars,  5 entities,  1 relations
  PMC3715403:   1407 chars, 11 entities,  3 relations
  PMC3731670:    468 chars,  6 entities,  2 relations
  PMC3794902:    765 chars,  5 entities,  1 relations
  PMC3853218:   1123 chars, 12 entities,  4 relations
  PMC3869194:    713 chars,  6 entities,  2 relations
  PMC3900378:    574 chars,  6 entities,  3 relations
  PMC3907024:    566 chars, 11 entities,  6 relations
  PMC3968891:    793 chars, 12 entities,  7 relations
  PMC4015449:    814 chars, 15 entities,  6 relations
  PMC4055564:    673 chars,  9 entities,  3 relations
  PMC4056374:   1000 chars, 10 entities,  3 relations
  PMC4058932:    633 chars,  6 entities,  1 relations
  PMC4076250:    623 chars, 11 entities,  3 relations
  PMC4102393:    936 chars,  5 entities,  1 relations
  PMC4147881:    693 chars, 10 entities,  3 relations
  PMC4148194:    968 chars, 14 entities,  5 relations
  PMC4263207:   1512 chars, 22 entities, 10 relations
  PMC4332142:    615 chars,  8 entities,  2 relations
  PMC4338111:    933 chars, 20 entities,  9 relations
  PMC4376647:    735 chars,  6 entities,  3 relations
  PMC4380031:    507 chars,  6 entities,  1 relations
  PMC4481844:    338 chars,  4 entities,  1 relations
  PMC4624683:    806 chars, 12 entities,  5 relations
  PMC4676698:   1098 chars, 16 entities,  5 relations
  PMC4699692:    269 chars,  3 entities,  2 relations
  PMC4734835:   1098 chars,  8 entities,  2 relations
  PMC4839673:    741 chars, 18 entities,  9 relations
  PMC4918922:    515 chars, 11 entities,  4 relations
  PMC4919057:   1313 chars, 22 entities, 10 relations
  PMC4966924:    585 chars, 10 entities,  4 relations
  PMC5026371:   1239 chars, 18 entities,  7 relations
  PMC5040440:    476 chars, 10 entities,  6 relations
  PMC5444858:    718 chars, 18 entities,  8 relations
  PMC5473572:    563 chars,  8 entities,  4 relations
  PMC5638227:    446 chars,  3 entities,  0 relations
  PMC5730222:    721 chars,  8 entities,  3 relations
  PMC5747461:    853 chars, 10 entities,  3 relations
  PMC5841829:   1260 chars, 22 entities,  7 relations
  PMC5871001:    330 chars,  6 entities,  3 relations
  PMC5891060:    861 chars,  5 entities,  0 relations
  PMC6049947:    548 chars,  9 entities,  2 relations
  PMC6105007:   1039 chars, 23 entities, 13 relations
  PMC6114895:    957 chars, 10 entities,  3 relations
  PMC6786656:    627 chars, 10 entities,  2 relations
================================================================================
devel/Creation_sentences: 22 units
  PMC2447727:    476 chars,  5 entities,  2 relations
  PMC3034234:   1208 chars, 18 entities,  7 relations
  PMC3125773:    437 chars,  5 entities,  2 relations
  PMC3516542:    523 chars,  9 entities,  3 relations
  PMC3547792:    819 chars,  6 entities,  1 relations
  PMC3985171:   1147 chars, 17 entities, 10 relations
  PMC4011881:   1068 chars, 12 entities,  5 relations
  PMC4053987:    877 chars,  9 entities,  1 relations
  PMC4177671:   1672 chars, 25 entities, 11 relations
  PMC4214554:    806 chars,  8 entities,  4 relations
  PMC4214615:    757 chars, 16 entities,  7 relations
  PMC4271363:    937 chars, 17 entities,  5 relations
  PMC4539857:   1494 chars, 26 entities,  8 relations
  PMC4847874:    908 chars,  7 entities,  3 relations
  PMC4880203:    776 chars, 11 entities,  4 relations
  PMC5051939:    804 chars,  7 entities,  1 relations
  PMC5315406:    860 chars, 12 entities,  7 relations
  PMC5421816:    689 chars,  6 entities,  2 relations
  PMC5720828:    672 chars, 13 entities,  6 relations
  PMC5862518:    825 chars,  8 entities,  3 relations
  PMC5868853:    532 chars, 10 entities,  3 relations
  PMC6061994:    642 chars, 11 entities,  6 relations
================================================================================
test/Creation_sentences: 22 units
  PMC1274293:   1027 chars, 20 entities,  4 relations
  PMC1635267:    760 chars, 12 entities,  4 relations
  PMC1660556:    920 chars, 24 entities, 10 relations
  PMC1866385:    544 chars,  8 entities,  2 relations
