================================================================================
sample: 50 units
  10471277: 2232 chars,  43 entity mentions, 20 relations
  23150485: 1665 chars,  42 entity mentions,  0 relations
  23155202: 1735 chars,  27 entity mentions,  0 relations
  23477624: 1692 chars,  34 entity mentions,  0 relations
  23044094: 1999 chars,  23 entity mentions,  0 relations
  23220749: 1579 chars,  28 entity mentions, 16 relations
   9950599: 1813 chars,  18 entity mentions,  0 relations
  23615073: 1459 chars,  24 entity mentions, 10 relations
  23147415: 1548 chars,  25 entity mentions,  8 relations
  23643664: 2356 chars,  32 entity mentions, 17 relations
  17124432: 1803 chars,  19 entity mentions,  5 relations
  23562076: 1188 chars,  20 entity mentions,  0 relations
  23639738: 1094 chars,  21 entity mentions,  0 relations
  12477282: 1778 chars,  29 entity mentions, 14 relations
  23339966: 1263 chars,   7 entity mentions,  0 relations
  10998082: 2445 chars,  42 entity mentions,  5 relations
  12453616:  886 chars,  18 entity mentions,  8 relations
   6706930: 2071 chars,  44 entity mentions, 24 relations
  23188391: 1194 chars,  17 entity mentions,  2 relations
   9399970: 2302 chars,  51 entity mentions, 13 relations
  23103563: 1564 chars,  25 entity mentions,  9 relations
  23174265: 1863 chars,  36 entity mentions,  8 relations
  23103450: 1766 chars,  44 entity mentions, 26 relations
   7768269: 1626 chars,  29 entity mentions,  3 relations
  15967876: 1482 chars,  29 entity mentions, 19 relations
  17251447: 1670 chars,  36 entity mentions,  0 relations
  23360475: 1681 chars,   7 entity mentions,  0 relations
  15110853: 1327 chars,  19 entity mentions,  8 relations
  23578391: 1604 chars,  20 entity mentions,  1 relations
  23432095: 1372 chars,  32 entity mentions, 14 relations
  23613080: 1337 chars,   5 entity mentions,  0 relations
  15132128: 1853 chars,  45 entity mentions, 12 relations
  23576111: 1630 chars,  11 entity mentions,  0 relations
   6645495: 2101 chars,  45 entity mentions, 23 relations
  19428322: 1316 chars,  25 entity mentions, 11 relations
  14766200: 1110 chars,  20 entity mentions,  6 relations
  23110812: 3553 chars,   6 entity mentions,  0 relations
  17484506: 1280 chars,   6 entity mentions,  0 relations
  23494186:  959 chars,  15 entity mentions,  6 relations
  23195959: 1481 chars,  37 entity mentions,  0 relations
  23611835: 1942 chars,  22 entity mentions,  5 relations
  10403635: 2182 chars,  55 entity mentions,  8 relations
  23562072:  455 chars,   5 entity mentions,  0 relations
  23402744: 2624 chars,  27 entity mentions,  2 relations
  23538162: 1451 chars,  31 entity mentions, 11 relations
  23458420:  926 chars,  10 entity mentions,  0 relations
  15204055: 1543 chars,  20 entity mentions, 15 relations
  23409951: 1544 chars,  32 entity mentions,  8 relations
  23063069: 2008 chars,  14 entity mentions,  0 relations
  23620436: 1958 chars,  17 entity mentions,  2 relations
================================================================================
train: 1020 units
  16357751: 1886 chars,   5 entity mentions,  0 relations
  14967461: 2465 chars,  29 entity mentions, 17 relations
  23468099: 1797 chars,  14 entity mentions,  0 relations
  23293962: 1447 chars,  33 entity mentions,  0 relations
   7678677:  923 chars,  19 entity mentions,  9 relations
  16554356: 1388 chars,  15 entity mentions,  2 relations
  16789740: 1022 chars,  14 entity mentions,  4 relations
   7526860: 1106 chars,  18 entity mentions,  0 relations
  17199504: 1090 chars,  16 entity mentions,  3 relations
  16437532: 4890 chars,  41 entity mentions,  7 relations
  11716850: 1877 chars,  71 entity mentions, 46 relations
  23487168: 1563 chars,  16 entity mentions,  2 relations
  23019138: 2080 chars,  29 entity mentions, 16 relations
  12065695: 2115 chars,  25 entity mentions,  6 relations
  23214423: 1298 chars,  15 entity mentions,  0 relations
  16840830: 1375 chars,  15 entity mentions,  2 relations
  15736931: 1742 chars,  57 entity mentions, 23 relations
  23414802:  587 chars,  12 entity mentions,  3 relations
  23578689:  624 chars,   9 entity mentions,  0 relations
  15908512: 2011 chars,  31 entity mentions, 16 relations
  14507899: 2047 chars,  16 entity mentions,  1 relations
  12904467: 1227 chars,  24 entity mentions,  7 relations
  23210783: 1012 chars,   7 entity mentions,  0 relations
  10606746: 1232 chars,  25 entity mentions,  7 relations
  16851960:  953 chars,  20 entity mentions,  3 relations
  23643542: 2665 chars,   9 entity mentions,  0 relations
  23063069: 2008 chars,  13 entity mentions,  0 relations
  11511858: 1126 chars,  15 entity mentions,  2 relations
  23207409: 1669 chars,  12 entity mentions,  0 relations
  16434489: 1794 chars,  38 entity mentions, 23 relations
  23411259: 1110 chars,  13 entity mentions,  0 relations
  12110374: 1927 chars,  41 entity mentions, 10 relations
  23551063: 1502 chars,  31 entity mentions, 18 relations
  23474889: 1794 chars,  30 entity mentions,  2 relations
  14501155: 1099 chars,  29 entity mentions,  7 relations
  23307557: 1408 chars,  17 entity mentions,  1 relations
  14984733: 1541 chars,  27 entity mentions,  5 relations
  15126366: 1664 chars,  37 entity mentions, 25 relations
  23629516: 1767 chars,  23 entity mentions,  5 relations
  23188819: 1340 chars,  21 entity mentions,  0 relations
  23418674: 1315 chars,  14 entity mentions,  4 relations
  23347684:  811 chars,   9 entity mentions,  0 relations
  10583449: 2073 chars,  22 entity mentions,  3 relations
   9003761: 1583 chars,  30 entity mentions,  8 relations
  17059881: 1227 chars,  12 entity mentions,  3 relations
  14757703: 2143 chars,  37 entity mentions, 18 relations
  11287128: 1827 chars,  14 entity mentions,  2 relations
  15673388: 1469 chars,  12 entity mentions,  4 relations
  23386780: 1400 chars,  23 entity mentions,  0 relations
  15070163: 1337 chars,  18 entity mentions,  2 relations
  11299519:  843 chars,  16 entity mentions,  3 relations
  17333137: 1734 chars,  25 entity mentions,  4 relations
  15963006: 1771 chars,   8 entity mentions,  0 relations
  16441928: 1912 chars,  40 entity mentions,  0 relations
  14523001: 1753 chars,  26 entity mentions,  3 relations
  16597615: 1947 chars,  17 entity mentions,  0 relations
  22902307: 1497 chars,   2 entity mentions,  0 relations
  23644411: 2232 chars,  19 entity mentions,  1 relations
  10988273: 2053 chars,  31 entity mentions, 15 relations
  12606421: 2988 chars,  56 entity mentions,  2 relations
   2568212: 1951 chars,  40 entity mentions,  8 relations
  23597450: 1472 chars,  36 entity mentions, 10 relations
  23274894: 1476 chars,  27 entity mentions,  3 relations
  23362262: 1998 chars,  54 entity mentions,  2 relations
  22537794: 2044 chars,  41 entity mentions, 23 relations
  23411172: 1169 chars,  24 entity mentions,  5 relations
  23454835: 1102 chars,  11 entity mentions,  1 relations
  10796631: 2981 chars,  24 entity mentions,  0 relations
   1435788: 1650 chars,  24 entity mentions,  2 relations
  19888514: 1880 chars,  22 entity mentions,  3 relations
  15635044: 1809 chars,  56 entity mentions, 18 relations
  10403635: 2182 chars,  54 entity mentions,  7 relations
  23238784: 1645 chars,  16 entity mentions,  2 relations
  23328072: 1909 chars,  11 entity mentions,  0 relations
  23466229:  862 chars,  10 entity mentions,  5 relations
  17378584: 1602 chars,  19 entity mentions,  0 relations
  23253172: 1770 chars,  23 entity mentions,  0 relations
  11330337: 2773 chars,  56 entity mentions, 31 relations
  16494569: 2120 chars,  21 entity mentions,  3 relations
  23273219: 1025 chars,  13 entity mentions,  5 relations
  20230007: 2026 chars,  46 entity mentions, 20 relations
  17015640: 1986 chars,  34 entity mentions, 18 relations
  15177307: 1722 chars,  14 entity mentions,  5 relations
  23395981: 1209 chars,  24 entity mentions, 13 relations
  23632905: 1738 chars,  43 entity mentions,  9 relations
   1705137: 2285 chars,  52 entity mentions,  8 relations
  23453071: 1038 chars,  16 entity mentions,  9 relations
  10328230: 1820 chars,  25 entity mentions, 12 relations
  17079868: 1350 chars,  22 entity mentions,  4 relations
  17081103: 1499 chars,  39 entity mentions,  1 relations
  22717743: 1432 chars,  12 entity mentions,  0 relations
  23152189: 1981 chars,  36 entity mentions,  3 relations
  19427182: 1541 chars,  33 entity mentions, 12 relations
  16343532: 1323 chars,  24 entity mentions, 10 relations
   8302852: 1025 chars,  27 entity mentions,  6 relations
  23357567: 1689 chars,   9 entity mentions,  0 relations
   9015795: 2877 chars,  39 entity mentions, 11 relations
  17360707: 1619 chars,  18 entity mentions,  0 relations
  13129570: 1369 chars,  33 entity mentions, 11 relations
  15650315: 1714 chars,  32 entity mentions, 13 relations
  15955565: 1418 chars,  27 entity mentions,  2 relations
  15963471: 1927 chars,  47 entity mentions, 17 relations
  15805193: 1840 chars,  20 entity mentions,  6 relations
  23517912: 1995 chars,  44 entity mentions, 23 relations
  10047461: 2889 chars,  63 entity mentions, 19 relations
  23481236: 1830 chars,  53 entity mentions, 29 relations
  17035524: 1547 chars,  22 entity mentions,  0 relations
  17661345: 1531 chars,  45 entity mentions,  2 relations
  23422569: 2090 chars,  53 entity mentions, 17 relations
  23500776: 1431 chars,  22 entity mentions,  4 relations
  23322769: 1950 chars,  27 entity mentions,  4 relations
  17020418: 1673 chars,  27 entity mentions,  8 relations
  23511897: 1430 chars,  33 entity mentions,  0 relations
  17035141: 2089 chars,  41 entity mentions,  0 relations
  23489628:  597 chars,  12 entity mentions,  4 relations
  23383871: 2339 chars,  18 entity mentions,  0 relations
  23249751: 1135 chars,  16 entity mentions,  1 relations
  23578390: 1176 chars,  20 entity mentions,  8 relations
  19780818: 1447 chars,  28 entity mentions,  2 relations
  23580394:  598 chars,   1 entity mentions,  0 relations
  23200255: 1068 chars,  18 entity mentions, 10 relations
  23344974: 1487 chars,   7 entity mentions,  2 relations
  11031122: 1794 chars,  21 entity mentions,  7 relations
  10381000: 1107 chars,  16 entity mentions,  8 relations
