================================================================================
train: 350 units
                  J87-1003: 145 tokens,  3 sentences, 13 entity mentions,  3 relations
          CVPR_2003_18_abs: 183 tokens,  8 sentences, 25 entity mentions, 15 relations
   INTERSPEECH_2013_31_abs: 219 tokens,  9 sentences, 35 entity mentions, 20 relations
                  I05-5008: 124 tokens,  3 sentences, 17 entity mentions, 12 relations
                  C92-2068:  99 tokens,  4 sentences, 17 entity mentions,  6 relations
                  A97-1052:  97 tokens,  4 sentences,  8 entity mentions,  5 relations
          CVPR_2006_21_abs: 197 tokens,  9 sentences, 29 entity mentions, 10 relations
          ICCV_2013_36_abs: 127 tokens,  6 sentences, 13 entity mentions,  6 relations
                  N06-4001: 103 tokens,  4 sentences, 12 entity mentions,  7 relations
                  N03-2003:  65 tokens,  2 sentences,  4 entity mentions,  2 relations
          ICCV_2011_47_abs:  95 tokens,  4 sentences, 18 entity mentions, 11 relations
          CVPR_1998_10_abs: 142 tokens,  4 sentences, 22 entity mentions, 14 relations
        IJCAI_2016_420_abs: 172 tokens,  7 sentences, 23 entity mentions, 17 relations
         ICCV_2015_403_abs: 197 tokens,  7 sentences, 19 entity mentions,  9 relations
                  E85-1041:  40 tokens,  2 sentences,  3 entity mentions,  2 relations
         IJCAI_2001_12_abs: 139 tokens,  5 sentences, 14 entity mentions,  9 relations
                  H90-1011: 154 tokens,  6 sentences, 20 entity mentions, 14 relations
                  W99-0408: 113 tokens,  4 sentences, 16 entity mentions, 13 relations
          IJCAI_2013_5_abs: 222 tokens,  8 sentences, 23 entity mentions, 15 relations
                  C04-1102:  57 tokens,  5 sentences, 11 entity mentions,  5 relations
          CVPR_2004_21_abs: 173 tokens,  8 sentences, 29 entity mentions, 14 relations
                  N03-2017:  57 tokens,  4 sentences, 10 entity mentions,  5 relations
                  P05-1018:  77 tokens,  4 sentences, 11 entity mentions,  7 relations
                  C92-3165: 132 tokens,  9 sentences, 10 entity mentions,  4 relations
                  C08-1118:  70 tokens,  2 sentences,  7 entity mentions,  2 relations
   INTERSPEECH_2006_28_abs: 148 tokens,  5 sentences, 20 entity mentions, 18 relations
          AAAI_2015_10_abs: 151 tokens,  7 sentences, 19 entity mentions, 10 relations
       ICASSP_1997_707_abs:  64 tokens,  3 sentences,  9 entity mentions,  6 relations
                  P01-1009: 111 tokens,  4 sentences, 14 entity mentions,  5 relations
                  H01-1058: 168 tokens,  7 sentences, 15 entity mentions,  7 relations
                  H05-1064: 146 tokens,  7 sentences, 23 entity mentions, 14 relations
          NIPS_2003_18_abs: 126 tokens,  6 sentences, 19 entity mentions,  5 relations
                  X98-1022: 169 tokens,  9 sentences, 25 entity mentions, 20 relations
          NIPS_2014_21_abs: 187 tokens, 10 sentences, 20 entity mentions,  7 relations
                  E85-1004:  98 tokens,  4 sentences, 12 entity mentions,  8 relations
          NIPS_2015_21_abs: 118 tokens,  4 sentences, 19 entity mentions, 10 relations
