================================================================================
train: 306 units
  000f90380d768a85e2316225854fc377c079b5c4:  6507 words, 328 sentences, 400 entity mentions,  4 relations
  0012de6bec1f25599e4f02517637e531a71909b9:  2976 words, 121 sentences, 162 entity mentions,  1 relations
  007ab5528b3bd310a80d553cccad4b78dc496b02:  5949 words, 320 sentences, 303 entity mentions, 14 relations
  0095c269e7d0c990249312687fc43521019809c4:  4508 words, 248 sentences, 307 entity mentions,  3 relations
  00b1cdc5bd77bf27f9b1ca630365eeeb456913b4:  4869 words, 197 sentences, 335 entity mentions,  2 relations
  01125e3c68edb420b8d884ff53fb38d9fbe4f2b8:  4959 words, 222 sentences, 257 entity mentions,  1 relations
  0116899fce00ffa4afee08b505300bb3968faf9f:  8786 words, 448 sentences, 490 entity mentions,  9 relations
  0171bdeb1c6e333287be655c667cfba5edb89b76:  6539 words, 356 sentences, 359 entity mentions,  2 relations
  01959ef569f74c286956024866c1d107099199f7: 13731 words, 538 sentences, 416 entity mentions, 10 relations
  01c824989d24a8cae214c3156edd9d4492faa579:  4789 words, 266 sentences, 340 entity mentions,  1 relations
  0209389b8369aaa2a08830ac3b2036d4901ba1f1:  5675 words, 251 sentences, 286 entity mentions,  1 relations
  020a9aba95bce75dca08e3c499efc9e100f1cbb6:  4561 words, 211 sentences, 248 entity mentions,  5 relations
  0217fb2a54a4f324ddf82babc6ec6692a3f6194f:  5136 words, 226 sentences, 285 entity mentions,  2 relations
  023cc7f9f3544436553df9548a7d0575bb309c2e:  1915 words, 103 sentences, 128 entity mentions,  8 relations
  027f9695189355d18ec6be8e48f3d23ea25db35d:  5756 words, 302 sentences, 294 entity mentions,  6 relations
  02a5b7a41ffa8518eb3b7cae9914a2bd2bbc886b:  7060 words, 324 sentences, 394 entity mentions,  1 relations
  02e85d62fbd8249a046d00ac10e39546511b2a51: 12302 words, 584 sentences, 718 entity mentions,  1 relations
  03184ac97ebf0724c45a29ab49f2a8ce59ac2de3:  6731 words, 372 sentences, 309 entity mentions,  1 relations
  0373b97580cdfd0b69f165e1a946bae62da95dce:  2994 words, 199 sentences, 281 entity mentions,  2 relations
  03a5b2aac53443e6078f0f63b35d4f95d6d54c5d:  4508 words, 246 sentences, 370 entity mentions, 16 relations
  04320b6d3e6e50a5faf0e54ae2b8b8739445a026:  2563 words, 125 sentences,  94 entity mentions,  3 relations
  04640006606ddfb9d6aa4ce8f55855b1f23ec7ed:  5266 words, 248 sentences, 341 entity mentions,  5 relations
  04957e40d47ca89d38653e97f728883c0ad26e5d:  6158 words, 334 sentences, 456 entity mentions,  1 relations
  051b3763c2ad4e4271db712b0e9a4cfe298d05db:  5446 words, 299 sentences, 486 entity mentions,  2 relations
  052282998bc24db695891f755a00e3cebd3fd796:  6852 words, 294 sentences, 438 entity mentions,  1 relations
  0523e14247d74c4505cd5e32e1f0495f291ec432:  4926 words, 310 sentences, 236 entity mentions,  1 relations
  052443e1709c0f7d3432cca7c451534eea76b7ca:  5278 words, 282 sentences, 469 entity mentions,  3 relations
  05357b8c05b5bc020e871fc330a88910c3177e4d:  5794 words, 298 sentences, 347 entity mentions,  3 relations
  05ee231749c9ce97f036c71c1d2d599d660a8c81:  6797 words, 282 sentences, 410 entity mentions,  2 relations
  060ff1aad5619a7d6d6cdfaf8be5da29bff3808c:  6493 words, 265 sentences, 454 entity mentions,  7 relations
  06150e6e69a379c27e1d0100fcd7660f073cbacf:  5720 words, 263 sentences, 345 entity mentions,  1 relations
  061c05faf3d68a7bdade9d4debeab369e2f9746c: 12264 words, 560 sentences, 646 entity mentions,  2 relations
  063ad0349f05c8aacbbb653ffcf01047a293fa30:  4625 words, 253 sentences, 173 entity mentions,  2 relations
  06b4d8409837dce9d6eb919efd1debdaecc40d01:  4842 words, 214 sentences, 302 entity mentions,  4 relations
  06c06885fd53b2cbd407704cf14f658842ed48e5:  4017 words, 268 sentences, 259 entity mentions,  9 relations
  06c5b86b638b2f3572b9cdd9ef0be4740b16781b:  2638 words, 121 sentences, 170 entity mentions,  2 relations
  07045f87709d0b7b998794e9fa912c0aba912281:  2560 words, 128 sentences, 149 entity mentions, 16 relations
  071b16f25117fb6133480c6259227d54fc2a5ea0:  6137 words, 305 sentences, 279 entity mentions,  2 relations
  072fd0b8d471f183da0ca9880379b3bb29031b6a:  6444 words, 326 sentences, 356 entity mentions,  9 relations
  074b6fe0cc6848fb86a6703d1c52074494177c79:  5881 words, 248 sentences, 343 entity mentions,  7 relations
  07c4fc48ad7b7d1a417b0bb72d0ae2d4efc5aa83:  3832 words, 142 sentences, 292 entity mentions,  1 relations
  07cca2bdd0dc2fee02889e17789748eba9d06ffa: 10630 words, 518 sentences, 401 entity mentions,  1 relations
  07f3f736d90125cb2b04e7408782af411c67dd5a:  4858 words, 189 sentences, 306 entity mentions,  2 relations
  0875fc92cce33df5cf7df169590dbf0ca00d2652:  4988 words, 265 sentences, 234 entity mentions,  2 relations
  0891ed6ed64fb461bc03557b28c686f87d880c9a:  5018 words, 220 sentences, 263 entity mentions,  1 relations
  0899bb0f3d5425c88b358638bb8556729720c8db:  5368 words, 344 sentences, 348 entity mentions,  1 relations
  08d55271589f989d90a7edce3345f78f2468a7e0:  4937 words, 257 sentences, 325 entity mentions,  1 relations
  0985497d1de3ffd11713e75289cc2ad55836623d:  4693 words, 210 sentences, 246 entity mentions,  2 relations
  09879f7956dddc2a9328f5c1472feeb8402bcbcf:  4688 words, 214 sentences, 257 entity mentions,  2 relations
  09da677bdbba113374d8fe4bb15ecfbdb4c8fe40:  4832 words, 221 sentences, 389 entity mentions,  2 relations
  09ec60f2eea5d43792b2bc9da63b1c9b7719f666:  5457 words, 292 sentences, 372 entity mentions,  1 relations
  0a053f55804eee01f3c8b4138a1d3364d5bc45ac:  7549 words, 341 sentences, 454 entity mentions,  3 relations
  0a1dc95e4c884a91bd141df8133d1b4961178123:  9255 words, 444 sentences, 492 entity mentions, 15 relations
  0a34fe39e9938ae8c813a81ae6d2d3a325600e5c:  5137 words, 259 sentences, 343 entity mentions,  5 relations
  0a3a003457f5d7758a42a0e4b7278b39a86ed0bd:  7558 words, 366 sentences, 675 entity mentions,  3 relations
  0a49b4de21363d86599d4a058aaf4f5aed019495:  6010 words, 271 sentences, 318 entity mentions,  2 relations
  0a6d7e8e61c54c796f53120fdb86a25177e00998:  5517 words, 235 sentences, 223 entity mentions,  4 relations
  0a78873e41615798d09391d9f40d41666b8c9beb:  4691 words, 197 sentences, 183 entity mentions,  1 relations
  0abb49fe138e8fb7332c26b148a48d0db39724fc:  3891 words, 187 sentences, 274 entity mentions,  3 relations
  0b0cf7e00e7532e38238a9164f0a8db2574be2ea:  4473 words, 214 sentences, 296 entity mentions,  7 relations
  0b544dfe355a5070b60986319a3f51fb45d1348e:  5669 words, 258 sentences, 319 entity mentions,  1 relations
  0b5519f76fc8e31ecf9931f00184aee86694e3a4:  5501 words, 241 sentences, 312 entity mentions,  4 relations
  0b5aef2894d3248fb5ecc955d50501f0aa276036:  5403 words, 291 sentences, 321 entity mentions,  2 relations
  0b8759d61e93b809df16d9fe9010d2a2d7241c74:  4691 words, 255 sentences, 336 entity mentions,  2 relations
  0be9ca65ad318ee3729928882ef2c403d4b6d24e:  5284 words, 274 sentences, 405 entity mentions, 13 relations
  0c278ecf472f42ec1140ca2f1a0a3dd60cbe5c48:  7161 words, 336 sentences, 425 entity mentions,  1 relations
