================================================================================
Train: 400 units
  10491763: 1797 chars, 32 entity mentions,  9 entities,   3 relations
  10661407: 1005 chars, 10 entity mentions,  2 entities,   1 relations
  10788334: 1577 chars, 24 entity mentions, 11 entities,  16 relations
  11009181: 1623 chars, 23 entity mentions,  9 entities,   4 relations
  11054569:  983 chars, 24 entity mentions, 11 entities,   5 relations
  11773892: 2779 chars, 57 entity mentions,  8 entities,   6 relations
  12442272: 1577 chars, 20 entity mentions,  5 entities,   2 relations
   1353340:  718 chars, 15 entity mentions,  4 entities,   2 relations
  14722929: 1746 chars, 43 entity mentions, 24 entities,   1 relations
  15099351: 1112 chars, 23 entity mentions, 10 entities,   6 relations
  15122708: 1562 chars, 33 entity mentions,  9 entities,   7 relations
  15177686: 1223 chars, 17 entity mentions,  4 entities,   1 relations
  15188772:  830 chars, 11 entity mentions,  6 entities,   4 relations
  15266215: 1961 chars, 45 entity mentions, 12 entities,   6 relations
  16005363:  909 chars, 24 entity mentions, 13 entities,   3 relations
  16200390: 1419 chars, 22 entity mentions,  8 entities,   1 relations
  16369751: 1721 chars, 45 entity mentions, 12 entities,  12 relations
  16596970: 1378 chars, 28 entity mentions,  7 entities,   3 relations
  17000021: 2156 chars, 30 entity mentions,  7 entities,   7 relations
  17006606: 1781 chars, 45 entity mentions,  8 entities,   7 relations
  17035713: 1586 chars, 54 entity mentions, 18 entities,  11 relations
   1711760: 1647 chars, 32 entity mentions, 11 entities,   1 relations
  17391797: 1519 chars, 37 entity mentions,  7 entities,   5 relations
  17495183: 1516 chars, 39 entity mentions, 15 entities,  17 relations
  17595233: 2770 chars, 58 entity mentions, 16 entities,   7 relations
  17683901: 1205 chars, 18 entity mentions,  5 entities,   2 relations
  18166824: 1595 chars, 34 entity mentions, 11 entities,   8 relations
  18408250: 1912 chars, 32 entity mentions,  8 entities,   3 relations
  18439317: 2025 chars, 15 entity mentions,  5 entities,   5 relations
  18657397: 1577 chars, 17 entity mentions,  5 entities,   2 relations
  18681856: 1616 chars, 19 entity mentions,  6 entities,   6 relations
  19067809: 1828 chars, 26 entity mentions, 12 entities,   6 relations
  19508969: 2012 chars, 53 entity mentions, 27 entities,  28 relations
  19521089:  978 chars, 28 entity mentions,  8 entities,   2 relations
  19728177: 1543 chars, 34 entity mentions, 10 entities,   3 relations
  19881468: 1513 chars, 23 entity mentions, 11 entities,  13 relations
  20005218: 1709 chars, 35 entity mentions,  8 entities,   4 relations
  20034406: 1790 chars, 47 entity mentions,  7 entities,   8 relations
  20105310: 1924 chars, 62 entity mentions, 38 entities,  31 relations
  20606392: 1413 chars, 26 entity mentions,  9 entities,   6 relations
